,MUNICIPAL,ZIP,POLLING LOCATION,address,address2,full_addr
PGH BOARD OF PUB ED,PITTSBURGH,15208,8080 BENNETT ST- FAISON ARTS ACADEMY ANNEX, FAISON ARTS ACADEMY ANNEX," FAISON ARTS ACADEMY ANNEX, PITTSBURGH"," FAISON ARTS ACADEMY ANNEX, PITTSBURGH, Pennsylvania, 15208"
CHURCH/TEMPLE,PITTSBURGH,15208,BETHANY CENTER MULTI PURPOSE ROOM-7745 TIOGA ST,7745 TIOGA ST,"7745 TIOGA ST, PITTSBURGH","7745 TIOGA ST, PITTSBURGH, Pennsylvania, 15208"
CHURCH/TEMPLE,PITTSBURGH,15208,7745 TIOGA ST - BETHANY CENTER MULTI-PURPOSE RM, BETHANY CENTER MULTI-PURPOSE RM," BETHANY CENTER MULTI-PURPOSE RM, PITTSBURGH"," BETHANY CENTER MULTI-PURPOSE RM, PITTSBURGH, Pennsylvania, 15208"
SALVATION ARMY,PITTSBURGH,15208,SALVATION ARMY HOMEWOOD/BRUSTON- 8020 FRANKSTOWN AVE., 8020 FRANKSTOWN AVE.," 8020 FRANKSTOWN AVE., PITTSBURGH"," 8020 FRANKSTOWN AVE., PITTSBURGH, Pennsylvania, 15208"
PGH BOARD OF PUB ED,PITTSBURGH,15208,8080 BENNETT ST- FAISON ARTS ACADEMY ANNEX, FAISON ARTS ACADEMY ANNEX," FAISON ARTS ACADEMY ANNEX, PITTSBURGH"," FAISON ARTS ACADEMY ANNEX, PITTSBURGH, Pennsylvania, 15208"
PRIVATE SCHOOL,PITTSBURGH,15221,2150 EAST HILLS DR - IMANI CHRISTIAN ACADEMY, IMANI CHRISTIAN ACADEMY," IMANI CHRISTIAN ACADEMY, PITTSBURGH"," IMANI CHRISTIAN ACADEMY, PITTSBURGH, Pennsylvania, 15221"
PRIVATE SCHOOL,PITTSBURGH,15221,2150 EAST HILLS DR - IMANI CHRISTIAN ACADEMY, IMANI CHRISTIAN ACADEMY," IMANI CHRISTIAN ACADEMY, PITTSBURGH"," IMANI CHRISTIAN ACADEMY, PITTSBURGH, Pennsylvania, 15221"
PRIVATE SCHOOL,PITTSBURGH,15221,2150 EAST HILLS DR - IMANI CHRISTIAN ACADEMY, IMANI CHRISTIAN ACADEMY," IMANI CHRISTIAN ACADEMY, PITTSBURGH"," IMANI CHRISTIAN ACADEMY, PITTSBURGH, Pennsylvania, 15221"
TV STATIONS,PITTSBURGH,15213,4802 5TH AVE - WQED FM ENT OFF 5TH HILLMAN CONF RM, WQED FM ENT OFF 5TH HILLMAN CONF RM," WQED FM ENT OFF 5TH HILLMAN CONF RM, PITTSBURGH"," WQED FM ENT OFF 5TH HILLMAN CONF RM, PITTSBURGH, Pennsylvania, 15213"
PRIVATE SCHOOL,PITTSBURGH,15213,CENTRAL CATHOLIC HIGH SCHOOL- 4720 5TH AVE. , 4720 5TH AVE. ," 4720 5TH AVE. , PITTSBURGH"," 4720 5TH AVE. , PITTSBURGH, Pennsylvania, 15213"
COLLEGE-UNIVERSITIES,PITTSBURGH,15232,CHATHAM UNIVERSITY LAUGHLIN MUSIC CENTER WELKER ROOM- 106 WOODLAND RD., 106 WOODLAND RD.," 106 WOODLAND RD., PITTSBURGH"," 106 WOODLAND RD., PITTSBURGH, Pennsylvania, 15232"
CITY OWNED BLDGS,PITTSBURGH,15217,WIGHTMAN ANNEX- 5621 SOLWAY ST., 5621 SOLWAY ST.," 5621 SOLWAY ST., PITTSBURGH"," 5621 SOLWAY ST., PITTSBURGH, Pennsylvania, 15217"
PRIVATE SCHOOL,PITTSBURGH,15217,WIGHTMAN SCHOOL-5604 SOLWAY ST,5604 SOLWAY ST,"5604 SOLWAY ST, PITTSBURGH","5604 SOLWAY ST, PITTSBURGH, Pennsylvania, 15217"
COLLEGE-UNIVERSITIES,PITTSBURGH,15232,CHATHAM UNIVERSITY LAUGHLIN MUSIC CENTER WELKER ROOM- 106 WOODLAND RD. , 106 WOODLAND RD. ," 106 WOODLAND RD. , PITTSBURGH"," 106 WOODLAND RD. , PITTSBURGH, Pennsylvania, 15232"
COLLEGE-UNIVERSITIES,PITTSBURGH,15213,CARNEGIE MELLON UNIVERSITY GYM 5000 FORBES AVE.,#VALUE!,#VALUE!,#VALUE!
BUSINESS,PITTSBURGH,15217,BOB O'CONNOR GOLF COURSE AT SCHENLEY PARK- 5370 SCHENLEY DR. , 5370 SCHENLEY DR. ," 5370 SCHENLEY DR. , PITTSBURGH"," 5370 SCHENLEY DR. , PITTSBURGH, Pennsylvania, 15217"
PGH BOARD OF PUB ED,PITTSBURGH,15208,LINDEN SCHOOL RIGHT SIDE GYM- WILKINS AVE GYM ENT- 725 S. LINDEN AVE., WILKINS AVE GYM ENT- 725 S. LINDEN AVE.," WILKINS AVE GYM ENT- 725 S. LINDEN AVE., PITTSBURGH"," WILKINS AVE GYM ENT- 725 S. LINDEN AVE., PITTSBURGH, Pennsylvania, 15208"
PRIVATE SCHOOL,PITTSBURGH,15208,ST. BEDE PARISH- 509 S. DALLAS AVE. , 509 S. DALLAS AVE. ," 509 S. DALLAS AVE. , PITTSBURGH"," 509 S. DALLAS AVE. , PITTSBURGH, Pennsylvania, 15208"
PGH BOARD OF PUB ED,PITTSBURGH,15208,LINDEN SCHOOL LEFT SIDE GYM- WILKINS AVE GYM ENT- 725 S. LINDEN AVE., WILKINS AVE GYM ENT- 725 S. LINDEN AVE.," WILKINS AVE GYM ENT- 725 S. LINDEN AVE., PITTSBURGH"," WILKINS AVE GYM ENT- 725 S. LINDEN AVE., PITTSBURGH, Pennsylvania, 15208"
CHURCH/TEMPLE,PITTSBURGH,15208,ST PAUL BAPTIST CHURCH- 6701 PENN AVE. , 6701 PENN AVE. ," 6701 PENN AVE. , PITTSBURGH"," 6701 PENN AVE. , PITTSBURGH, Pennsylvania, 15208"
CITY OWNED BLDGS,PITTSBURGH,15217,WESTINGHOUSE PARK BLDG.- MURTLAND & THOMAS, MURTLAND & THOMAS," MURTLAND & THOMAS, PITTSBURGH"," MURTLAND and THOMAS, PITTSBURGH, Pennsylvania, 15217"
PRIVATE SCHOOL,PITTSBURGH,15208,ST. BEDE PARISH- 509 S. DALLAS AVE. , 509 S. DALLAS AVE. ," 509 S. DALLAS AVE. , PITTSBURGH"," 509 S. DALLAS AVE. , PITTSBURGH, Pennsylvania, 15208"
PRIVATE SCHOOL,PITTSBURGH,15221,PARK PLACE SCHOOL-309 SOUTH BRADDOCK AVE,309 SOUTH BRADDOCK AVE,"309 SOUTH BRADDOCK AVE, PITTSBURGH","309 SOUTH BRADDOCK AVE, PITTSBURGH, Pennsylvania, 15221"
PRIVATE SCHOOL,PITTSBURGH,15206,ST. BEDE PARISH- 509 S. DALLAS AVE. , 509 S. DALLAS AVE. ," 509 S. DALLAS AVE. , PITTSBURGH"," 509 S. DALLAS AVE. , PITTSBURGH, Pennsylvania, 15206"
PRIVATE SCHOOL,PITTSBURGH,15208,ST. BEDE PARISH- 509 S. DALLAS AVE. , 509 S. DALLAS AVE. ," 509 S. DALLAS AVE. , PITTSBURGH"," 509 S. DALLAS AVE. , PITTSBURGH, Pennsylvania, 15208"
PRIVATE SCHOOL,PITTSBURGH,15208,THE ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK- 829 MILTON ST.  , 829 MILTON ST.  ," 829 MILTON ST.  , PITTSBURGH"," 829 MILTON ST.  , PITTSBURGH, Pennsylvania, 15208"
PRIVATE SCHOOL,PITTSBURGH,15218,THE ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK- 829 MILTON ST.  , 829 MILTON ST.  ," 829 MILTON ST.  , PITTSBURGH"," 829 MILTON ST.  , PITTSBURGH, Pennsylvania, 15218"
LIBRARY,PITTSBURGH,15218,MAXON TOWERS- 6315 FORBES AVE. , 6315 FORBES AVE. ," 6315 FORBES AVE. , PITTSBURGH"," 6315 FORBES AVE. , PITTSBURGH, Pennsylvania, 15218"
CITY OF PGH FIREHOUSES,PITTSBURGH,15217,5858 NORTHUMBERLAND- ENGINE CO. NO. 18, ENGINE CO. NO. 18," ENGINE CO. NO. 18, PITTSBURGH"," ENGINE CO. NO. 18, PITTSBURGH, Pennsylvania, 15217"
CITY OF PGH FIREHOUSES,PITTSBURGH,15217,5858 NORTHUMBERLAND- ENGINE CO. NO. 18, ENGINE CO. NO. 18," ENGINE CO. NO. 18, PITTSBURGH"," ENGINE CO. NO. 18, PITTSBURGH, Pennsylvania, 15217"
PGH BOARD OF PUB ED,PITTSBURGH,15217,2315 BEECHWOOD BLVD - COLFAX SCHOOL MULTI MEDIA RM, COLFAX SCHOOL MULTI MEDIA RM," COLFAX SCHOOL MULTI MEDIA RM, PITTSBURGH"," COLFAX SCHOOL MULTI MEDIA RM, PITTSBURGH, Pennsylvania, 15217"
PGH BOARD OF PUB ED,PITTSBURGH,15217,2315 BEECHWOOD BLVD - COLFAX SCHOOL CAFETERIA, COLFAX SCHOOL CAFETERIA," COLFAX SCHOOL CAFETERIA, PITTSBURGH"," COLFAX SCHOOL CAFETERIA, PITTSBURGH, Pennsylvania, 15217"
BUSINESS,PITTSBURGH,15217,SUMMERSET COMMUNITY CENTER @ SALES OFFICE-1425 PARKVIEW BLVD,1425 PARKVIEW BLVD,"1425 PARKVIEW BLVD, PITTSBURGH","1425 PARKVIEW BLVD, PITTSBURGH, Pennsylvania, 15217"
PGH BOARD OF PUB ED,PITTSBURGH,15217,2315 BEECHWOOD BLVD - COLFAX SCHOOL CAFETERIA, COLFAX SCHOOL CAFETERIA," COLFAX SCHOOL CAFETERIA, PITTSBURGH"," COLFAX SCHOOL CAFETERIA, PITTSBURGH, Pennsylvania, 15217"
COMMUNITY CENTER,PITTSBURGH,15218,SWISSHELM PARK COMMUNITY CENTER- 1050 WINDERMERE DR. , 1050 WINDERMERE DR. ," 1050 WINDERMERE DR. , PITTSBURGH"," 1050 WINDERMERE DR. , PITTSBURGH, Pennsylvania, 15218"
COMMUNITY CENTER,PITTSBURGH,15218,SWISSHELM PARK COMMUNITY CENTER- 1050 WINDERMERE DR. , 1050 WINDERMERE DR. ," 1050 WINDERMERE DR. , PITTSBURGH"," 1050 WINDERMERE DR. , PITTSBURGH, Pennsylvania, 15218"
PGH BOARD OF PUB ED,PITTSBURGH,15217,MINADEO SCHOOL-AUDITORIUM- 6502 LILAC ST,AUDITORIUM- 6502 LILAC ST,"AUDITORIUM- 6502 LILAC ST, PITTSBURGH","AUDITORIUM- 6502 LILAC ST, PITTSBURGH, Pennsylvania, 15217"
PGH BOARD OF PUB ED,PITTSBURGH,15217,MINADEO SCHOOL-AUDITORIUM- 6502 LILAC ST,AUDITORIUM- 6502 LILAC ST,"AUDITORIUM- 6502 LILAC ST, PITTSBURGH","AUDITORIUM- 6502 LILAC ST, PITTSBURGH, Pennsylvania, 15217"
BUSINESS,PITTSBURGH,15217,SUMMERSET COMMUNITY CENTER @ SALES OFFICE-1425 PARKVIEW BLVD,1425 PARKVIEW BLVD,"1425 PARKVIEW BLVD, PITTSBURGH","1425 PARKVIEW BLVD, PITTSBURGH, Pennsylvania, 15217"
PGH HOUSING AUTH,PITTSBURGH,15217,2825 MURRAY AVE.-TOWERS APT.-REC. RM.,TOWERS APT.-REC. RM.,"TOWERS APT.-REC. RM., PITTSBURGH","TOWERS APT.-REC. RM., PITTSBURGH, Pennsylvania, 15217"
HI-RISES-PRIVATE APTS,PITTSBURGH,15217,FORWARD SHADY APTS.- 5841 FORWARD AVE. , 5841 FORWARD AVE. ," 5841 FORWARD AVE. , PITTSBURGH"," 5841 FORWARD AVE. , PITTSBURGH, Pennsylvania, 15217"
LIBRARY,PITTSBURGH,15217,CARNEGIE LIBRARY OF PGH- SQUIRREL HILL- 5801 FORBES AVE. , SQUIRREL HILL- 5801 FORBES AVE. ," SQUIRREL HILL- 5801 FORBES AVE. , PITTSBURGH"," SQUIRREL HILL- 5801 FORBES AVE. , PITTSBURGH, Pennsylvania, 15217"
COMMUNITY CENTER,PITTSBURGH,15217,JEWISH COMMUNITY CENTER PALM ROOM- 5738 FORBES AVE., 5738 FORBES AVE.," 5738 FORBES AVE., PITTSBURGH"," 5738 FORBES AVE., PITTSBURGH, Pennsylvania, 15217"
SYNAGOGUE,PITTSBURGH,15217,SHAARE TORAH SYNAGOGUE- 2319 MURRAY AVE., 2319 MURRAY AVE.," 2319 MURRAY AVE., PITTSBURGH"," 2319 MURRAY AVE., PITTSBURGH, Pennsylvania, 15217"
SYNAGOGUE,PITTSBURGH,15217,SHAARE TORAH SYNAGOGUE- 2319 MURRAY AVE., 2319 MURRAY AVE.," 2319 MURRAY AVE., PITTSBURGH"," 2319 MURRAY AVE., PITTSBURGH, Pennsylvania, 15217"
COMMUNITY CENTER,PITTSBURGH,15217,JEWISH COMMUNITY CENTER PALM ROOM- 5738 FORBES AVE., 5738 FORBES AVE.," 5738 FORBES AVE., PITTSBURGH"," 5738 FORBES AVE., PITTSBURGH, Pennsylvania, 15217"
COMMUNITY CENTER,PITTSBURGH,15217,JEWISH COMMUNITY CENTER PALM ROOM- 5738 FORBES AVE., 5738 FORBES AVE.," 5738 FORBES AVE., PITTSBURGH"," 5738 FORBES AVE., PITTSBURGH, Pennsylvania, 15217"
COMMUNITY CENTER,PITTSBURGH,15217,JEWISH COMMUNITY CENTER ROOM 204- 5738 FORBES AVE., 5738 FORBES AVE.," 5738 FORBES AVE., PITTSBURGH"," 5738 FORBES AVE., PITTSBURGH, Pennsylvania, 15217"
UNION HALL,PITTSBURGH,15207,"INT'L UNION OF OPERATING ENGINEERS, LOCAL 95- 300 SALINE ST. ", 300 SALINE ST. ," 300 SALINE ST. , PITTSBURGH"," 300 SALINE ST. , PITTSBURGH, Pennsylvania, 15207"
CHURCH/TEMPLE,PITTSBURGH,15217,NEW LIFE CHURCH-SIDE ENT-1120 GREENFIELD AVE,SIDE ENT-1120 GREENFIELD AVE,"SIDE ENT-1120 GREENFIELD AVE, PITTSBURGH","SIDE ENT-1120 GREENFIELD AVE, PITTSBURGH, Pennsylvania, 15217"
CHURCH/TEMPLE,PITTSBURGH,15217,NEW LIFE CHURCH-SIDE ENT-1120 GREENFIELD AVE,SIDE ENT-1120 GREENFIELD AVE,"SIDE ENT-1120 GREENFIELD AVE, PITTSBURGH","SIDE ENT-1120 GREENFIELD AVE, PITTSBURGH, Pennsylvania, 15217"
CHURCH/TEMPLE,PITTSBURGH,15217,NEW LIFE CHURCH-1120 GREENFIELD AVE,1120 GREENFIELD AVE,"1120 GREENFIELD AVE, PITTSBURGH","1120 GREENFIELD AVE, PITTSBURGH, Pennsylvania, 15217"
CHURCH/TEMPLE,PITTSBURGH,15207,GREENFIELD PRESBYTERIAN CHURCH-ALJER ST ENT-3929 COLEMAN ST,ALJER ST ENT-3929 COLEMAN ST,"ALJER ST ENT-3929 COLEMAN ST, PITTSBURGH","ALJER ST ENT-3929 COLEMAN ST, PITTSBURGH, Pennsylvania, 15207"
CHURCH/TEMPLE,PITTSBURGH,15207,GREENFIELD PRESBYTERIAN CHURCH-ALJER ST ENT-3929 COLEMAN ST,ALJER ST ENT-3929 COLEMAN ST,"ALJER ST ENT-3929 COLEMAN ST, PITTSBURGH","ALJER ST ENT-3929 COLEMAN ST, PITTSBURGH, Pennsylvania, 15207"
CITY OWNED BLDGS,PITTSBURGH,15217,MAGEE CENTER- 745 GREENFIELD AVE., 745 GREENFIELD AVE.," 745 GREENFIELD AVE., PITTSBURGH"," 745 GREENFIELD AVE., PITTSBURGH, Pennsylvania, 15217"
CITY OF PGH FIREHOUSES,PITTSBURGH,15217,4156 WINTERBURN ST.- ENGINE CO. NO. 12, ENGINE CO. NO. 12," ENGINE CO. NO. 12, PITTSBURGH"," ENGINE CO. NO. 12, PITTSBURGH, Pennsylvania, 15217"
PRIVATE SCHOOL,PITTSBURGH,15217,411 GREENFIELD AVE.-ST. ROSALIA SCHOOL,ST. ROSALIA SCHOOL,"ST. ROSALIA SCHOOL, PITTSBURGH","ST. ROSALIA SCHOOL, PITTSBURGH, Pennsylvania, 15217"
UNION HALL,PITTSBURGH,15207,"INT'L UNION OF OPERATING ENGINEERS, LOCAL 95- 300 SALINE ST. ", 300 SALINE ST. ," 300 SALINE ST. , PITTSBURGH"," 300 SALINE ST. , PITTSBURGH, Pennsylvania, 15207"
PRIVATE SCHOOL,PITTSBURGH,15217,411 GREENFIELD AVE-ST ROSALIA SCHOOL,ST ROSALIA SCHOOL,"ST ROSALIA SCHOOL, PITTSBURGH","ST ROSALIA SCHOOL, PITTSBURGH, Pennsylvania, 15217"
CHURCH/TEMPLE,PITTSBURGH,15217,SQUIRREL HILL CHRISTIAN CHURCH- 290 BIGELOW ST., 290 BIGELOW ST.," 290 BIGELOW ST., PITTSBURGH"," 290 BIGELOW ST., PITTSBURGH, Pennsylvania, 15217"
YMCA-YWCA,PITTSBURGH,15207,YMCA- 4713 CHATSWORTH AVE. , 4713 CHATSWORTH AVE. ," 4713 CHATSWORTH AVE. , PITTSBURGH"," 4713 CHATSWORTH AVE. , PITTSBURGH, Pennsylvania, 15207"
CITY OF PGH FIREHOUSES,PITTSBURGH,15207,200 FLOWERS AVE.- ENGINE CO. NO. 13, ENGINE CO. NO. 13," ENGINE CO. NO. 13, PITTSBURGH"," ENGINE CO. NO. 13, PITTSBURGH, Pennsylvania, 15207"
CITY OWNED BLDGS,PITTSBURGH,15207,HAZELWOOD SENIOR CENTER- 5344 SECOND AVE. , 5344 SECOND AVE. ," 5344 SECOND AVE. , PITTSBURGH"," 5344 SECOND AVE. , PITTSBURGH, Pennsylvania, 15207"
CHURCH/TEMPLE,PITTSBURGH,15207,ST. STEPHEN SCHOOL- 134 E ELIZABETH ST. , 134 E ELIZABETH ST. ," 134 E ELIZABETH ST. , PITTSBURGH"," 134 E ELIZABETH ST. , PITTSBURGH, Pennsylvania, 15207"
CITY OF PGH FIREHOUSES,PITTSBURGH,15207,200 FLOWERS AVE.- ENGINE CO. NO. 13, ENGINE CO. NO. 13," ENGINE CO. NO. 13, PITTSBURGH"," ENGINE CO. NO. 13, PITTSBURGH, Pennsylvania, 15207"
YMCA-YWCA,PITTSBURGH,15207,HAZELWOOD YMCA- 4713 CHATSWORTH AVE. , 4713 CHATSWORTH AVE. ," 4713 CHATSWORTH AVE. , PITTSBURGH"," 4713 CHATSWORTH AVE. , PITTSBURGH, Pennsylvania, 15207"
CHURCH/TEMPLE,PITTSBURGH,15207,5201 SECOND AVE- CHURCH OF THE GOOD SHEPHERD, CHURCH OF THE GOOD SHEPHERD," CHURCH OF THE GOOD SHEPHERD, PITTSBURGH"," CHURCH OF THE GOOD SHEPHERD, PITTSBURGH, Pennsylvania, 15207"
PGH HOUSING AUTH,PITTSBURGH,15207,895 JOHNSTON AVE.-ADMINISTRATION BLDG.,ADMINISTRATION BLDG.,"ADMINISTRATION BLDG., PITTSBURGH","ADMINISTRATION BLDG., PITTSBURGH, Pennsylvania, 15207"
PGH HOUSING AUTH,PITTSBURGH,15203,2416 SARAH ST-MORSE HI RISE-COMMUNITY ROOM,MORSE HI RISE-COMMUNITY ROOM,"MORSE HI RISE-COMMUNITY ROOM, PITTSBURGH","MORSE HI RISE-COMMUNITY ROOM, PITTSBURGH, Pennsylvania, 15203"
PGH HOUSING AUTH,PITTSBURGH,15203,2416 SARAH ST-MORSE HI RISE COMM RM 24TH ST ENT,MORSE HI RISE COMM RM 24TH ST ENT,"MORSE HI RISE COMM RM 24TH ST ENT, PITTSBURGH","MORSE HI RISE COMM RM 24TH ST ENT, PITTSBURGH, Pennsylvania, 15203"
CHURCH/TEMPLE,PITTSBURGH,15203,HOT METAL BRIDGE FAITH COMMUNITY NURSERY RM-2700 JANE ST,2700 JANE ST,"2700 JANE ST, PITTSBURGH","2700 JANE ST, PITTSBURGH, Pennsylvania, 15203"
CITY OWNED BLDGS,PITTSBURGH,15203,2201 SALISBURY ST - ARLINGTON GYM -1ST FLOOR, ARLINGTON GYM -1ST FLOOR," ARLINGTON GYM -1ST FLOOR, PITTSBURGH"," ARLINGTON GYM -1ST FLOOR, PITTSBURGH, Pennsylvania, 15203"
CITY OWNED BLDGS,PITTSBURGH,15210,2201 SALISBURY ST- ARLINGTON GYM - 1ST FLOOR, ARLINGTON GYM - 1ST FLOOR," ARLINGTON GYM - 1ST FLOOR, PITTSBURGH"," ARLINGTON GYM - 1ST FLOOR, PITTSBURGH, Pennsylvania, 15210"
PRIVATE RESIDENCE,PITTSBURGH,15210,THE KORBETT GARAGE & CELLAR- 2626 SALISBURY ST. , 2626 SALISBURY ST. ," 2626 SALISBURY ST. , PITTSBURGH"," 2626 SALISBURY ST. , PITTSBURGH, Pennsylvania, 15210"
CITY OWNED BLDGS,PITTSBURGH,15210,2201 SALISBURY ST-ARLINGTON GYM-1ST FLOOR,ARLINGTON GYM-1ST FLOOR,"ARLINGTON GYM-1ST FLOOR, PITTSBURGH","ARLINGTON GYM-1ST FLOOR, PITTSBURGH, Pennsylvania, 15210"
PGH HOUSING AUTH,PITTSBURGH,15210,3111 CORDELL PL- ARLINGTON HEIGHTS BASEMENT, ARLINGTON HEIGHTS BASEMENT," ARLINGTON HEIGHTS BASEMENT, PITTSBURGH"," ARLINGTON HEIGHTS BASEMENT, PITTSBURGH, Pennsylvania, 15210"
CHURCH/TEMPLE,PITTSBURGH,15210,LIGHT HOUSE CATHEDRAL-810 FISCHER ST,810 FISCHER ST,"810 FISCHER ST, PITTSBURGH","810 FISCHER ST, PITTSBURGH, Pennsylvania, 15210"
COMMUNITY CENTER,PITTSBURGH,15210,ST CLAIR AA HALL- 2400 ELSIE ST. , 2400 ELSIE ST. ," 2400 ELSIE ST. , PITTSBURGH"," 2400 ELSIE ST. , PITTSBURGH, Pennsylvania, 15210"
COMMUNITY CENTER,PITTSBURGH,15210,ST CLAIR AA HALL- 2400 ELSIE ST. , 2400 ELSIE ST. ," 2400 ELSIE ST. , PITTSBURGH"," 2400 ELSIE ST. , PITTSBURGH, Pennsylvania, 15210"
PGH BOARD OF PUB ED,PITTSBURGH,15203,93 S. 10TH ST- SO. VO TECH (ANNEX BLDG) ROOM 104, SO. VO TECH (ANNEX BLDG) ROOM 104," SO. VO TECH (ANNEX BLDG) ROOM 104, PITTSBURGH"," SO. VO TECH (ANNEX BLDG) ROOM 104, PITTSBURGH, Pennsylvania, 15203"
CITY OWNED BLDGS,PITTSBURGH,15203,SOUTH SIDE MARKET HOUSE-12TH AND BINGHAM ST,12TH AND BINGHAM ST,"12TH AND BINGHAM ST, PITTSBURGH","12TH AND BINGHAM ST, PITTSBURGH, Pennsylvania, 15203"
CITY OWNED BLDGS,PITTSBURGH,15203,SOUTH SIDE MARKET HOUSE-12TH AND BINGHAM ST,12TH AND BINGHAM ST,"12TH AND BINGHAM ST, PITTSBURGH","12TH AND BINGHAM ST, PITTSBURGH, Pennsylvania, 15203"
CHURCH/TEMPLE,PITTSBURGH,15203,SOUTH SIDE PRESBYTERIAN CHURCH- 1926 SARAH ST. , 1926 SARAH ST. ," 1926 SARAH ST. , PITTSBURGH"," 1926 SARAH ST. , PITTSBURGH, Pennsylvania, 15203"
CHURCH/TEMPLE,PITTSBURGH,15203,SOUTH SIDE PRESBYTERIAN CHURCH- 1926 SARAH ST. , 1926 SARAH ST. ," 1926 SARAH ST. , PITTSBURGH"," 1926 SARAH ST. , PITTSBURGH, Pennsylvania, 15203"
AMERICAN LEGIONS,PITTSBURGH,15210,ST CLAIR POST 694 AMERICAN LEGION- 1751 ARLINGTON AVE.  , 1751 ARLINGTON AVE.  ," 1751 ARLINGTON AVE.  , PITTSBURGH"," 1751 ARLINGTON AVE.  , PITTSBURGH, Pennsylvania, 15210"
CHURCH/TEMPLE,PITTSBURGH,15203,ST. PAUL OF THE CROSS RETREAT CENTER- 148 MONASTERY AVE. , 148 MONASTERY AVE. ," 148 MONASTERY AVE. , PITTSBURGH"," 148 MONASTERY AVE. , PITTSBURGH, Pennsylvania, 15203"
CHURCH/TEMPLE,PITTSBURGH,15203,ST. PAUL OF THE CROSS RETREAT CENTER- 148 MONASTERY AVE. , 148 MONASTERY AVE. ," 148 MONASTERY AVE. , PITTSBURGH"," 148 MONASTERY AVE. , PITTSBURGH, Pennsylvania, 15203"
PGH BOARD OF PUB ED,PITTSBURGH,15210,BON AIR E.C.C- 252 FORDYCE ST. , 252 FORDYCE ST. ," 252 FORDYCE ST. , PITTSBURGH"," 252 FORDYCE ST. , PITTSBURGH, Pennsylvania, 15210"
CITY OWNED BLDGS,PITTSBURGH,15210,150 AMESBURY ST - MCKINLEY PARK REC CTR GYM, MCKINLEY PARK REC CTR GYM," MCKINLEY PARK REC CTR GYM, PITTSBURGH"," MCKINLEY PARK REC CTR GYM, PITTSBURGH, Pennsylvania, 15210"
SENIOR CENTERS,PITTSBURGH,15210,BELTZHOOVER COMMUNITY CENTER--407 GEARING AVE,-407 GEARING AVE,"-407 GEARING AVE, PITTSBURGH","-407 GEARING AVE, PITTSBURGH, Pennsylvania, 15210"
SENIOR CENTERS,PITTSBURGH,15210,150 AMESBURY ST - MCKINLEY PARK REC CTR GYM, MCKINLEY PARK REC CTR GYM," MCKINLEY PARK REC CTR GYM, PITTSBURGH"," MCKINLEY PARK REC CTR GYM, PITTSBURGH, Pennsylvania, 15210"
CHURCH/TEMPLE,PITTSBURGH,15210,213 BAILEY AVE.-BAILEY AVE. PRESBYTERIAN CH.,BAILEY AVE. PRESBYTERIAN CH.,"BAILEY AVE. PRESBYTERIAN CH., PITTSBURGH","BAILEY AVE. PRESBYTERIAN CH., PITTSBURGH, Pennsylvania, 15210"
CITY OWNED BLDGS,PITTSBURGH,15211,329 E. WARRINGTON AVE.-WARRINGTON REC. CENTER,WARRINGTON REC. CENTER,"WARRINGTON REC. CENTER, PITTSBURGH","WARRINGTON REC. CENTER, PITTSBURGH, Pennsylvania, 15211"
CITY OWNED BLDGS,PITTSBURGH,15211,329 E. WARRINGTON AVE.-WARRINGTON REC. CENTER,WARRINGTON REC. CENTER,"WARRINGTON REC. CENTER, PITTSBURGH","WARRINGTON REC. CENTER, PITTSBURGH, Pennsylvania, 15211"
PGH EMS,PITTSBURGH,15210,PGH MEDIC 8 BLDG-212 WALTER ST,212 WALTER ST,"212 WALTER ST, PITTSBURGH","212 WALTER ST, PITTSBURGH, Pennsylvania, 15210"
PGH HOUSING AUTH,PITTSBURGH,15210,803 E WARRINGTON AVE - CALIGUIRI PLAZA COM ROOM, CALIGUIRI PLAZA COM ROOM," CALIGUIRI PLAZA COM ROOM, PITTSBURGH"," CALIGUIRI PLAZA COM ROOM, PITTSBURGH, Pennsylvania, 15210"
PGH HOUSING AUTH,PITTSBURGH,15210,803 E WARRINGTON AVE - CALIGUIRI PLAZA COM ROOM, CALIGUIRI PLAZA COM ROOM," CALIGUIRI PLAZA COM ROOM, PITTSBURGH"," CALIGUIRI PLAZA COM ROOM, PITTSBURGH, Pennsylvania, 15210"
CITY OF PGH,PITTSBURGH,15210,PGH MEDIC 8 BLDG-212 WALTER ST,212 WALTER ST,"212 WALTER ST, PITTSBURGH","212 WALTER ST, PITTSBURGH, Pennsylvania, 15210"
SENIOR CENTERS,PITTSBURGH,15211,SWEETBRIAR PLACE APARTMENTS- 211 SWEETBRIAR ST.  , 211 SWEETBRIAR ST.  ," 211 SWEETBRIAR ST.  , PITTSBURGH"," 211 SWEETBRIAR ST.  , PITTSBURGH, Pennsylvania, 15211"
SENIOR CENTERS,PITTSBURGH,15211,SWEETBRIAR PLACE APARTMENTS- 211 SWEETBRIAR ST.  , 211 SWEETBRIAR ST.  ," 211 SWEETBRIAR ST.  , PITTSBURGH"," 211 SWEETBRIAR ST.  , PITTSBURGH, Pennsylvania, 15211"
